OSS_ID,NE,DATE,TABLE,REMARK
eniq_oss_5,MGED101,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_5,MGED101,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_2,MGJ2402,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_2,MGJ2402,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_2,MGJ2402,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_2,MGJ2402,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_2,MGJ2402,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_2,MGJ2402,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_2,MGJ2501,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_2,MGJ2501,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_2,MGJ2501,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_2,MGJ2501,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_2,MGJ2501,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_2,MGJ2501,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_2,MGJ2602,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_2,MGJ2602,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_2,MGJ2602,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_2,MGJ2602,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_2,MGJ2602,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_2,MGJ2602,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_2,MGJ3102,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_2,MGJ3102,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_2,MGJ3102,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_2,MGJ3102,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_2,MGJ3102,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_2,MGJ3102,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_2,MGJ3201,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_2,MGJ3201,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_2,MGJ3201,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_2,MGJ3201,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_2,MGJ3201,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_2,MGJ3201,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_2,MGJ3202,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_2,MGJ3202,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_2,MGJ3202,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_2,MGJ3202,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_2,MGJ3202,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_2,MGJ3202,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_2,MGJ3302,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_2,MGJ3302,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_2,MGJ3302,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_2,MGJ3302,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_2,MGJ3302,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_2,MGJ3302,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_2,MGJ3401,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_2,MGJ3401,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_2,MGJ3401,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_2,MGJ3401,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_2,MGJ3401,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_2,MGJ3401,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_2,MGJ3402,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_2,MGJ3402,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_2,MGJ3402,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_2,MGJ3402,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_2,MGJ3402,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_2,MGJ3402,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_2,MGJ3501,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_2,MGJ3501,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_2,MGJ3501,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_2,MGJ3501,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_2,MGJ3501,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_2,MGJ3501,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_5,MGJE101,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_5,MGJE101,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_5,MGJE101,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_5,MGJE101,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_5,MGJE101,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_5,MGJE101,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_5,MGJO102,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_5,MGJO102,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_5,MGJO102,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_5,MGJO102,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_5,MGJO102,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_5,MGJO102,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_2,MGJT102,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_2,MGJT102,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_2,MGJT102,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_2,MGJT102,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_2,MGJT102,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_2,MGJT102,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_5,MGMA101,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_5,MGMA101,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_5,MGMA101,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_5,MGMA101,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_5,MGMA101,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_5,MGMA101,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_5,MGMA102,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_5,MGMA102,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_5,MGMA102,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_5,MGMA102,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_5,MGMA102,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_5,MGMA102,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_5,MGMG101,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_5,MGMG101,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_5,MGMG101,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_5,MGMG101,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_5,MGMG101,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_5,MGMG101,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_5,MGML101,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_5,MGML101,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_5,MGML101,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_5,MGML101,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_5,MGML101,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_5,MGML101,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_2,MGML201,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_2,MGML201,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_2,MGML201,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_2,MGML201,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_2,MGML201,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
