NE,MP,DATE,TABLE,REMARK
MSJ24,71,2020-07-10 13:00:00,DC_E_CNAXE_TRD_ROUTEIN_RAW,OK
MSJ24,72,2020-07-10 13:00:00,DC_E_CNAXE_TRD_ROUTEOUT_RAW,OK
MSJ25,71,2020-07-10 13:00:00,DC_E_CNAXE_TRD_ROUTEIN_RAW,OK
MSJ25,72,2020-07-10 13:00:00,DC_E_CNAXE_TRD_ROUTEOUT_RAW,OK
